Starting repair of incorrectly deleted driveAssets...
Found 8 users. Scanning their driveAssets...
[REPAIRED] driveAsset asset-3dss-033a5faf-f63b-4380-af7d-3b40855f8c86 for user 4hvZOWCsjbY5R5T3zHWNWS3aOSj2
[REPAIRED] driveAsset asset-3dss-2b7f6e72-2200-4bcb-8ac8-24859e8ec892 for user 4hvZOWCsjbY5R5T3zHWNWS3aOSj2
[REPAIRED] driveAsset asset-3dss-3712d2e9-08d1-48fe-85ab-7e643df65a16 for user 4hvZOWCsjbY5R5T3zHWNWS3aOSj2
[REPAIRED] driveAsset asset-3dss-4559aff7-7ac2-476f-a925-ddff3d7c4058 for user 4hvZOWCsjbY5R5T3zHWNWS3aOSj2
[REPAIRED] driveAsset asset-3dss-75ead6fd-93ba-4980-9730-cf3e011e30f2 for user 4hvZOWCsjbY5R5T3zHWNWS3aOSj2
[REPAIRED] driveAsset asset-3dss-7993c739-0269-4c59-896f-680504fd20c7 for user 4hvZOWCsjbY5R5T3zHWNWS3aOSj2
[REPAIRED] driveAsset asset-3dss-7c7554c8-88e8-4c64-b2c0-51c1927a748d for user 4hvZOWCsjbY5R5T3zHWNWS3aOSj2
[REPAIRED] driveAsset asset-3dss-7d17338f-ea40-4738-95cd-814f6031450f for user 4hvZOWCsjbY5R5T3zHWNWS3aOSj2
[REPAIRED] driveAsset asset-3dss-9626a56e-b052-4230-acc0-98f6afac9c1c for user 4hvZOWCsjbY5R5T3zHWNWS3aOSj2
[REPAIRED] driveAsset asset-3dss-96678030-a5d6-4d53-83cf-b6f32cc279e9 for user 4hvZOWCsjbY5R5T3zHWNWS3aOSj2
[REPAIRED] driveAsset asset-3dss-98735d08-3d14-44ee-ba19-df75017552dc for user 4hvZOWCsjbY5R5T3zHWNWS3aOSj2
[REPAIRED] driveAsset asset-3dss-a20bc39e-fdf0-4c34-9a80-3f85b330b8f9 for user 4hvZOWCsjbY5R5T3zHWNWS3aOSj2
[REPAIRED] driveAsset asset-3dss-b0769e12-7d8b-4623-af96-5837386d5b15 for user 4hvZOWCsjbY5R5T3zHWNWS3aOSj2
[REPAIRED] driveAsset asset-3dss-b7f9cad6-a7a2-4100-a77e-9d5cc4ff7396 for user 4hvZOWCsjbY5R5T3zHWNWS3aOSj2
[REPAIRED] driveAsset asset-3dss-b992d20d-3e86-46fc-995c-d49c2b20803e for user 4hvZOWCsjbY5R5T3zHWNWS3aOSj2
[REPAIRED] driveAsset asset-3dss-e263af9b-74d3-4a68-9210-78c573928b3e for user 4hvZOWCsjbY5R5T3zHWNWS3aOSj2
[REPAIRED] driveAsset asset-3dss-f17fca31-44da-4bf1-b93a-01ccad4c4ae8 for user 4hvZOWCsjbY5R5T3zHWNWS3aOSj2
[REPAIRED] driveAsset asset-3dss-3e229617-23cd-413b-84d5-fab9705070be for user SLydmMRV3HRyW5BNDCZp7xSiFgn2
[REPAIRED] driveAsset asset-3dss-5b31afdb-8d5a-4b18-adec-22673ea10d67 for user SLydmMRV3HRyW5BNDCZp7xSiFgn2
[REPAIRED] driveAsset asset-3dss-6ba76398-8f1d-402a-be37-654fb40919f1 for user SLydmMRV3HRyW5BNDCZp7xSiFgn2
[REPAIRED] driveAsset asset-3dss-a526f87f-1078-405c-aa81-c627d800140f for user SLydmMRV3HRyW5BNDCZp7xSiFgn2
[REPAIRED] driveAsset asset-3dss-aca60bda-aa3e-4b1e-ace9-9d664791650d for user SLydmMRV3HRyW5BNDCZp7xSiFgn2
[REPAIRED] driveAsset asset-3dss-c2da870d-2bf3-424a-88dd-dbce89036319 for user SLydmMRV3HRyW5BNDCZp7xSiFgn2
[REPAIRED] driveAsset asset-3dss-4534573c-d75a-47d8-890d-73ef8a54e07d for user dZLeURsXfIctrwkOBWUf7kiTJYV2
[REPAIRED] driveAsset asset-3dss-6Da1p4Pngt4LmL4Pm0lX for user dZLeURsXfIctrwkOBWUf7kiTJYV2
[REPAIRED] driveAsset asset-3dss-87537288-2233-408c-bef2-d14a058b2528 for user dZLeURsXfIctrwkOBWUf7kiTJYV2
[REPAIRED] driveAsset asset-3dss-FccHLFJTKuzBFn4yh5Yb for user dZLeURsXfIctrwkOBWUf7kiTJYV2
